trial_number,status,hpt_forecast_rmse,hpt_forecast_rmse,hpt_forecast_std_dev,hpt_val_loss,hpt_val_agg_error,embed_dim,num_heads,ff_dim,num_transformer_blocks,mlp_units,dropout,mlp_dropout,learning_rate,batch_size,focal_loss_gamma,transition_weight_factor
0,Completed,0.032436,0.032436,0.022591,0.231874,0.000643,64,8,64,1,[64],0.26438850444620027,0.16494826528450948,0.00014288217686114283,256,0.6153508113156025,0.8838160937119488
1,Completed,0.227335,0.227335,0.048420,0.045913,0.000788,64,4,192,1,"[128, 80]",0.07054830599915692,0.3941709346104428,4.815681469966749e-05,256,4.518455127216402,0.7903799216224849
2,Completed,0.066780,0.066780,0.013695,0.150160,0.003225,64,8,128,1,"[48, 48]",0.25957865908135724,0.5308238859988093,0.00010535680025965958,256,1.652868794649679,0.8848450921638777
3,Completed,0.025204,0.025204,0.020086,0.225161,0.000500,32,8,128,3,[48],0.06793948515478411,0.19554135009465032,0.0006876511101537072,128,0.5821458798798584,0.42855040819803825
4,Completed,0.103332,0.103332,0.031434,0.122941,0.000789,32,4,32,3,"[112, 48]",0.126759984217232,0.43353992141848013,0.00025111166135870526,256,1.9956432572002247,0.5151076379886688
5,Completed,0.014210,0.014210,0.009946,0.214476,0.000626,128,4,32,3,[80],0.15607690109536057,0.07780925831006955,3.0942144623522945e-05,256,0.8104976524619117,0.8798744750574187
6,Completed,0.017842,0.017842,0.010616,0.249491,0.000202,128,8,224,4,"[112, 80]",0.296476897775334,0.1755291308116303,8.576604577224067e-05,64,0.44161010331405515,0.4888048820527582
7,Completed,0.143105,0.143105,0.007864,0.062694,0.002490,32,2,32,1,[80],0.2946901596849462,0.16479898262720954,1.1363211265440681e-05,64,4.2702186919110465,0.622315125816177
8,Completed,0.053807,0.053807,0.017755,0.142930,0.000313,32,8,32,2,"[128, 80]",0.2924867429225862,0.3654693288083459,7.829338067487349e-05,64,1.7751324363021488,0.7151892497478941
9,Completed,0.135310,0.135310,0.020111,0.053581,0.000351,128,8,64,3,"[48, 128]",0.16152910582200078,0.41539753090655546,2.3168738958384388e-05,32,4.136075679270438,0.42970716239676165
10,Completed,0.133197,0.133197,0.017562,0.078943,0.000771,128,4,256,6,[16],0.18754321821573958,0.045654712457382396,2.7680729906585628e-05,128,3.152621140308683,0.10281395943316407
11,Completed,0.008557,0.008557,0.008164,0.286698,0.000642,128,2,256,5,[96],0.002867672445852343,0.0020169087101317568,3.842865700216478e-05,64,0.0952607956751137,0.2137979933719626
12,Completed,0.029100,0.029100,0.019305,0.268653,0.000726,128,2,160,5,[96],0.0009330048866076676,0.01331664535556084,1.0457529320298847e-05,32,0.22961755439206732,0.16555937071320226
13,Completed,0.034391,0.034391,0.011745,0.190815,0.000432,128,2,256,5,[80],0.20040923616330053,0.08547279474647046,3.0636801381051616e-05,64,1.0186322675849213,0.23770112265379184
14,Completed,0.130559,0.130559,0.026563,0.092760,0.000266,128,2,96,4,[96],0.10989671300729506,0.26726418123760715,4.059955456514271e-05,256,2.718883966726718,0.9952038217821125
15,Completed,0.019054,0.019054,0.008391,0.306130,0.000586,128,4,192,6,[96],0.017528792252444525,0.09645982197998176,1.7623458663081203e-05,64,0.0018261866162415236,0.2857401961484589
16,Completed,0.035416,0.035416,0.010980,0.165352,0.000830,128,4,160,5,[64],0.063505990256999,0.00044893535239415305,5.29089902905e-05,128,1.2917869135468263,0.31596541164192987
17,Completed,0.022511,0.022511,0.009017,0.186712,0.002245,128,2,96,4,[16],0.20654903658999754,0.27191520082405496,0.00020867289724882921,32,1.0498021505697352,0.033500804701014714
18,Completed,0.084016,0.084016,0.012065,0.111952,0.001142,128,4,224,2,[112],0.11892814018953177,0.09260178213132883,1.8063186092640426e-05,256,2.4064766608507857,0.6104015145129631
19,Completed,0.174371,0.174371,0.022377,0.069297,0.000202,64,2,192,2,[80],0.1583186973806489,0.2307874355190279,0.0006591754813778454,64,3.4026247149820605,0.00261464737723352
20,Completed,0.056945,0.056945,0.019841,0.163724,0.000413,128,2,96,5,[32],0.04222588451391779,0.32856842664550656,6.40228331660749e-05,256,1.2921752466641205,0.3748117884660386
21,Completed,0.018126,0.018126,0.012943,0.235529,0.000109,128,8,224,4,"[112, 128]",0.2330582158779781,0.12129698428038013,8.813632448642193e-05,64,0.5103024153191339,0.5277896608976049
22,Completed,0.018867,0.018867,0.009187,0.308362,0.000115,128,8,224,4,"[96, 16]",0.09994826974194052,0.04792423406091504,3.608190509814598e-05,64,0.0008680646352532406,0.6610431495625774
23,Completed,0.020468,0.020468,0.010110,0.213047,0.000591,128,4,256,3,"[112, 96]",0.2331202775145047,0.14528577248280222,0.0001175092455246711,64,0.7168878820224469,0.19779290660589666
24,Completed,0.015202,0.015202,0.008232,0.257522,0.000868,128,4,224,4,"[128, 48]",0.13656778263736077,0.21181821876501522,0.0003524096344791388,64,0.35785413066961136,0.7910211921959683
25,Completed,0.044368,0.044368,0.010117,0.189580,0.000479,128,4,256,6,[128],0.14200419079863635,0.05156185913776068,0.00041519371312506666,64,0.9974558148355334,0.972348710398365
